Derived MCC,Combined Description,USDA Description,IRS Description,Reportable under 6041/6041A and Authority for Exception,
7933,Bowling Alleys,Bowling Alleys,Bowling Alleys,Yes,"'7933':{'combined description':'Bowling Alleys', 'USDA description':'Bowling Alleys','IRS Description':'Bowling Alleys', 'reportable':'Yes'},"
7941,"Commercial Sports, Athletic Fields, Professional Sport Clubs, and Sport Promoters","Commercial Sports, Athletic Fields, Professional Sport Clubs, and Sport Promoters",Sports Clubs/Fields,Yes,"'7941':{'combined description':'Commercial Sports, Athletic Fields, Professional Sport Clubs, and Sport Promoters', 'USDA description':'Commercial Sports, Athletic Fields, Professional Sport Clubs, and Sport Promoters','IRS Description':'Sports Clubs/Fields', 'reportable':'Yes'},"
7991,Tourist Attractions and Exhibits,Tourist Attractions and Exhibits,Tourist Attractions and Exhibits,Yes,"'7991':{'combined description':'Tourist Attractions and Exhibits', 'USDA description':'Tourist Attractions and Exhibits','IRS Description':'Tourist Attractions and Exhibits', 'reportable':'Yes'},"
7992,Golf Courses & Public,Golf Courses & Public,Golf Courses - Public,Yes,"'7992':{'combined description':'Golf Courses & Public', 'USDA description':'Golf Courses & Public','IRS Description':'Golf Courses - Public', 'reportable':'Yes'},"
7993,Video Amusement Game Supplies,Video Amusement Game Supplies,Video Amusement Game Supplies,No1.6041-3(c),"'7993':{'combined description':'Video Amusement Game Supplies', 'USDA description':'Video Amusement Game Supplies','IRS Description':'Video Amusement Game Supplies', 'reportable':'No1.6041-3(c)'},"
7994,Video Game Arcades/Establishments,Video Game Arcades/Establishments,Video Game Arcades,Yes,"'7994':{'combined description':'Video Game Arcades/Establishments', 'USDA description':'Video Game Arcades/Establishments','IRS Description':'Video Game Arcades', 'reportable':'Yes'},"
7995,"Betting (including Lottery Tickets, Casino Gaming Chips, Off-track Betting and Wagers)","Betting (including Lottery Tickets, Casino Gaming Chips, Off-track Betting and Wagers)",Betting/Casino Gambling,Yes,"'7995':{'combined description':'Betting (including Lottery Tickets, Casino Gaming Chips, Off-track Betting and Wagers)', 'USDA description':'Betting (including Lottery Tickets, Casino Gaming Chips, Off-track Betting and Wagers)','IRS Description':'Betting/Casino Gambling', 'reportable':'Yes'},"
7996,"Amusement Parks, Carnivals, Circuses, Fortune Tellers","Amusement Parks, Carnivals, Circuses, Fortune Tellers",Amusement Parks/Carnivals,Yes,"'7996':{'combined description':'Amusement Parks, Carnivals, Circuses, Fortune Tellers', 'USDA description':'Amusement Parks, Carnivals, Circuses, Fortune Tellers','IRS Description':'Amusement Parks/Carnivals', 'reportable':'Yes'},"
7997,"Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses","Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses",Country Clubs,Yes,"'7997':{'combined description':'Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses', 'USDA description':'Membership Clubs (Sports, Recreation, Athletic), Country Clubs, and Private Golf Courses','IRS Description':'Country Clubs', 'reportable':'Yes'},"
7998,"Aquariums, Sea-aquariums, Dolphinariums","Aquariums, Sea-aquariums, Dolphinariums",Aquariums,Yes,"'7998':{'combined description':'Aquariums, Sea-aquariums, Dolphinariums', 'USDA description':'Aquariums, Sea-aquariums, Dolphinariums','IRS Description':'Aquariums', 'reportable':'Yes'},"
7999,Recreation Services (Not Elsewhere Classified),Recreation Services (Not Elsewhere Classified),Miscellaneous Recreation Services,Yes,"'7999':{'combined description':'Recreation Services (Not Elsewhere Classified)', 'USDA description':'Recreation Services (Not Elsewhere Classified)','IRS Description':'Miscellaneous Recreation Services', 'reportable':'Yes'},"
8011,Doctors and Physicians (Not Elsewhere Classified),Doctors and Physicians (Not Elsewhere Classified),Doctors,Yes,"'8011':{'combined description':'Doctors and Physicians (Not Elsewhere Classified)', 'USDA description':'Doctors and Physicians (Not Elsewhere Classified)','IRS Description':'Doctors', 'reportable':'Yes'},"
8021,Dentists and Orthodontists,Dentists and Orthodontists,"Dentists, Orthodontists",Yes,"'8021':{'combined description':'Dentists and Orthodontists', 'USDA description':'Dentists and Orthodontists','IRS Description':'Dentists, Orthodontists', 'reportable':'Yes'},"
8031,Osteopaths,Osteopaths,Osteopaths,Yes,"'8031':{'combined description':'Osteopaths', 'USDA description':'Osteopaths','IRS Description':'Osteopaths', 'reportable':'Yes'},"
8041,Chiropractors,Chiropractors,Chiropractors,Yes,"'8041':{'combined description':'Chiropractors', 'USDA description':'Chiropractors','IRS Description':'Chiropractors', 'reportable':'Yes'},"
8042,Optometrists and Ophthalmologists,Optometrists and Ophthalmologists,"Optometrists, Ophthalmologist",Yes,"'8042':{'combined description':'Optometrists and Ophthalmologists', 'USDA description':'Optometrists and Ophthalmologists','IRS Description':'Optometrists, Ophthalmologist', 'reportable':'Yes'},"
8043,"Opticians, Opticians Goods and Eyeglasses","Opticians, Opticians Goods and Eyeglasses","Opticians, Eyeglasses",Yes,"'8043':{'combined description':'Opticians, Opticians Goods and Eyeglasses', 'USDA description':'Opticians, Opticians Goods and Eyeglasses','IRS Description':'Opticians, Eyeglasses', 'reportable':'Yes'},"
8044,"Opticians, Optical Goods, and Eyeglasses (no longer validfor first presentments)","Opticians, Optical Goods, and Eyeglasses (no longer validfor first presentments)",,,"'8044':{'combined description':'Opticians, Optical Goods, and Eyeglasses (no longer validfor first presentments)', 'USDA description':'Opticians, Optical Goods, and Eyeglasses (no longer validfor first presentments)','IRS Description':'', 'reportable':''},"
8049,Podiatrists and Chiropodists,Podiatrists and Chiropodists,"Chiropodists, Podiatrists",Yes,"'8049':{'combined description':'Podiatrists and Chiropodists', 'USDA description':'Podiatrists and Chiropodists','IRS Description':'Chiropodists, Podiatrists', 'reportable':'Yes'},"
8050,Nursing and Personal Care Facilities,Nursing and Personal Care Facilities,Nursing/Personal Care ,Yes,"'8050':{'combined description':'Nursing and Personal Care Facilities', 'USDA description':'Nursing and Personal Care Facilities','IRS Description':'Nursing/Personal Care ', 'reportable':'Yes'},"
8062,Hospitals,Hospitals,Hospitals,Yes,"'8062':{'combined description':'Hospitals', 'USDA description':'Hospitals','IRS Description':'Hospitals', 'reportable':'Yes'},"
8071,Medical and Dental Laboratories,Medical and Dental Laboratories,Medical and Dental Labs,Yes,"'8071':{'combined description':'Medical and Dental Laboratories', 'USDA description':'Medical and Dental Laboratories','IRS Description':'Medical and Dental Labs', 'reportable':'Yes'},"
8099,Medical Services and Health Practitioners (Not Elsewhere Classified),Medical Services and Health Practitioners (Not Elsewhere Classified),Medical Services ,Yes,"'8099':{'combined description':'Medical Services and Health Practitioners (Not Elsewhere Classified)', 'USDA description':'Medical Services and Health Practitioners (Not Elsewhere Classified)','IRS Description':'Medical Services ', 'reportable':'Yes'},"
8111,Legal Services and Attorneys,Legal Services and Attorneys,"Legal Services, Attorneys",Yes,"'8111':{'combined description':'Legal Services and Attorneys', 'USDA description':'Legal Services and Attorneys','IRS Description':'Legal Services, Attorneys', 'reportable':'Yes'},"
8211,Elementary and Secondary Schools,Elementary and Secondary Schools,"Elementary, Secondary Schools",No1.6041-3(p)(2),"'8211':{'combined description':'Elementary and Secondary Schools', 'USDA description':'Elementary and Secondary Schools','IRS Description':'Elementary, Secondary Schools', 'reportable':'No1.6041-3(p)(2)'},"
8220,"Colleges, Junior Colleges, Universities, and ProfessionalSchools","Colleges, Junior Colleges, Universities, and ProfessionalSchools","Colleges, Universities",No1.6041-3(p)(2),"'8220':{'combined description':'Colleges, Junior Colleges, Universities, and ProfessionalSchools', 'USDA description':'Colleges, Junior Colleges, Universities, and ProfessionalSchools','IRS Description':'Colleges, Universities', 'reportable':'No1.6041-3(p)(2)'},"
8241,Correspondence Schools,Correspondence Schools,Correspondence Schools,No1.6041-3(p)(2),"'8241':{'combined description':'Correspondence Schools', 'USDA description':'Correspondence Schools','IRS Description':'Correspondence Schools', 'reportable':'No1.6041-3(p)(2)'},"
8244,Business and Secretarial Schools,Business and Secretarial Schools,Business/Secretarial Schools,No1.6041-3(p)(2),"'8244':{'combined description':'Business and Secretarial Schools', 'USDA description':'Business and Secretarial Schools','IRS Description':'Business/Secretarial Schools', 'reportable':'No1.6041-3(p)(2)'},"
8249,Vocational Schools and Trade Schools,Vocational Schools and Trade Schools,Vocational/Trade Schools,No1.6041-3(p)(2),"'8249':{'combined description':'Vocational Schools and Trade Schools', 'USDA description':'Vocational Schools and Trade Schools','IRS Description':'Vocational/Trade Schools', 'reportable':'No1.6041-3(p)(2)'},"
8299,Schools and Educational Services ( Not Elsewhere Classified),Schools and Educational Services ( Not Elsewhere Classified),Educational Services ,Yes,"'8299':{'combined description':'Schools and Educational Services ( Not Elsewhere Classified)', 'USDA description':'Schools and Educational Services ( Not Elsewhere Classified)','IRS Description':'Educational Services ', 'reportable':'Yes'},"
8351,Child Care Services,Child Care Services,Child Care Services,Yes,"'8351':{'combined description':'Child Care Services', 'USDA description':'Child Care Services','IRS Description':'Child Care Services', 'reportable':'Yes'},"
8398,Charitable and Social Service Organizations,Charitable and Social Service Organizations,Charitable and Social Service Organizations - Fundraising,No1.6041-3(p)(2),"'8398':{'combined description':'Charitable and Social Service Organizations', 'USDA description':'Charitable and Social Service Organizations','IRS Description':'Charitable and Social Service Organizations - Fundraising', 'reportable':'No1.6041-3(p)(2)'},"
8641,"Civic, Fraternal, and Social Associations","Civic, Fraternal, and Social Associations","Civic, Social, Fraternal Associations",No1.6041-3(p)(2),"'8641':{'combined description':'Civic, Fraternal, and Social Associations', 'USDA description':'Civic, Fraternal, and Social Associations','IRS Description':'Civic, Social, Fraternal Associations', 'reportable':'No1.6041-3(p)(2)'},"
8651,Political Organizations,Political Organizations,Political Organizations,Yes,"'8651':{'combined description':'Political Organizations', 'USDA description':'Political Organizations','IRS Description':'Political Organizations', 'reportable':'Yes'},"
8661,Religious Organizations,Religious Organizations,Religious Organizations,No1.6041-3(p)(2),"'8661':{'combined description':'Religious Organizations', 'USDA description':'Religious Organizations','IRS Description':'Religious Organizations', 'reportable':'No1.6041-3(p)(2)'},"
8675,Automobile Associations,Automobile Associations,Automobile Associations,Yes,"'8675':{'combined description':'Automobile Associations', 'USDA description':'Automobile Associations','IRS Description':'Automobile Associations', 'reportable':'Yes'},"
8699,Membership Organizations ( Not Elsewhere Classified),Membership Organizations ( Not Elsewhere Classified),Membership Organizations,Yes,"'8699':{'combined description':'Membership Organizations ( Not Elsewhere Classified)', 'USDA description':'Membership Organizations ( Not Elsewhere Classified)','IRS Description':'Membership Organizations', 'reportable':'Yes'},"
8734,Testing Laboratories ( non-medical),Testing Laboratories ( non-medical),Testing Laboratories,Yes,"'8734':{'combined description':'Testing Laboratories ( non-medical)', 'USDA description':'Testing Laboratories ( non-medical)','IRS Description':'Testing Laboratories', 'reportable':'Yes'},"
8911,Architectural & Engineering and Surveying Services,Architectural & Engineering and Surveying Services,Architectural/Surveying Services,Yes,"'8911':{'combined description':'Architectural & Engineering and Surveying Services', 'USDA description':'Architectural & Engineering and Surveying Services','IRS Description':'Architectural/Surveying Services', 'reportable':'Yes'},"
8931,"Accounting, Auditing, and Bookkeeping Services","Accounting, Auditing, and Bookkeeping Services",Accounting/Bookkeeping Services,Yes,"'8931':{'combined description':'Accounting, Auditing, and Bookkeeping Services', 'USDA description':'Accounting, Auditing, and Bookkeeping Services','IRS Description':'Accounting/Bookkeeping Services', 'reportable':'Yes'},"
8999,Professional Services ( Not Elsewhere Defined),Professional Services ( Not Elsewhere Defined),Professional Services,Yes,"'8999':{'combined description':'Professional Services ( Not Elsewhere Defined)', 'USDA description':'Professional Services ( Not Elsewhere Defined)','IRS Description':'Professional Services', 'reportable':'Yes'},"
9211,"Court Costs, including Alimony and Child Support","Court Costs, including Alimony and Child Support","Court Costs, Including Alimony and Child Support - Courts of Law",No1.6041-3(p)(4),"'9211':{'combined description':'Court Costs, including Alimony and Child Support', 'USDA description':'Court Costs, including Alimony and Child Support','IRS Description':'Court Costs, Including Alimony and Child Support - Courts of Law', 'reportable':'No1.6041-3(p)(4)'},"
9222,Fines,Fines,Fines - Government Administrative Entities,No1.6041-3(p)(4),"'9222':{'combined description':'Fines', 'USDA description':'Fines','IRS Description':'Fines - Government Administrative Entities', 'reportable':'No1.6041-3(p)(4)'},"
